Frame,Object_ID,X,Y
0,0,172,358
0,1,173,355
0,5,291,350
0,9,291,343
0,11,304,344
0,14,290,336
0,15,221,334
0,16,219,331
0,17,216,328
0,20,18,325
0,21,22,320
0,22,16,321
0,24,94,314
0,26,90,317
0,27,36,317
0,29,32,314
0,31,275,316
0,37,286,296
0,38,283,299
0,39,82,291
0,41,200,284
0,43,83,286
0,44,81,277
0,50,195,265
0,56,366,257
0,57,358,260
0,59,267,260
0,70,142,242
0,73,95,239
0,78,195,227
0,79,192,228
0,81,348,222
0,82,201,222
0,84,293,222
0,86,345,220
0,88,289,218
0,98,51,207
0,99,196,202
0,100,87,203
0,101,80,200
0,105,314,200
0,107,206,257
0,112,371,179
0,117,127,175
0,123,323,166
0,124,315,166
0,127,325,162
0,129,317,158
0,136,227,134
0,138,133,128
0,139,128,132
0,142,279,126
0,143,222,125
0,145,279,123
0,147,217,124
0,152,28,115
0,156,350,111
0,157,343,109
0,160,75,98
0,164,233,93
0,172,120,80
0,173,124,81
0,174,209,78
0,177,120,76
0,178,123,73
0,182,223,77
0,185,168,62
0,186,171,60
0,188,312,72
0,190,171,53
0,192,243,43
0,194,281,38
0,200,301,38
0,201,290,38
0,203,295,35
0,205,282,34
0,206,118,31
0,208,140,28
0,212,114,31
0,213,198,13
0,215,195,10
0,217,304,5
0,219,291,4
0,220,309,1
1,4,365,361
1,5,360,361
1,8,119,364
1,10,173,358
1,14,162,353
1,15,373,355
1,16,173,353
1,17,167,356
1,19,139,353
1,23,78,326
1,25,208,324
1,26,325,323
1,29,315,325
1,30,74,324
1,33,244,324
1,35,212,321
1,36,72,321
1,37,222,318
1,38,218,315
1,39,35,316
1,42,224,310
1,44,306,309
1,46,305,304
1,47,230,304
1,48,226,306
1,54,285,289
1,55,282,292
1,56,20,290
1,57,16,288
1,58,52,283
1,59,94,280
1,60,91,285
1,62,54,279
1,65,49,279
1,66,246,277
1,67,52,275
1,68,243,270
1,70,246,264
1,78,157,262
1,79,146,262
1,82,364,257
1,83,358,259
1,85,151,259
1,91,378,250
1,92,258,251
1,94,321,246
1,95,320,243
1,96,195,227
1,97,192,224
1,100,170,218
1,103,46,187
1,105,41,188
1,108,247,188
1,109,45,184
1,111,228,164
1,112,132,158
